dteday,season,mnth,holiday,weekday,workingday,weathersit,temp,atemp,hum,windspeed,cnt
01/01/2012,1,1,0,0,0,1,0.37,0.375621,0.6925,0.192167,2294
02/01/2012,1,1,1,1,0,1,0.273043,0.252304,0.381304,0.329665,1951
03/01/2012,1,1,0,2,1,1,0.15,0.126275,0.44125,0.365671,2236
04/01/2012,1,1,0,3,1,2,0.1075,0.119337,0.414583,0.1847,2368
05/01/2012,1,1,0,4,1,1,0.265833,0.278412,0.524167,0.129987,3272
06/01/2012,1,1,0,5,1,1,0.334167,0.340267,0.542083,0.167908,4098
07/01/2012,1,1,0,6,0,1,0.393333,0.390779,0.531667,0.174758,4521
08/01/2012,1,1,0,0,0,1,0.3375,0.340258,0.465,0.191542,3425
09/01/2012,1,1,0,1,1,2,0.224167,0.247479,0.701667,0.0989,2376
10/01/2012,1,1,0,2,1,1,0.308696,0.318826,0.646522,0.187552,3598
11/01/2012,1,1,0,3,1,2,0.274167,0.282821,0.8475,0.131221,2177
12/01/2012,1,1,0,4,1,2,0.3825,0.381938,0.802917,0.180967,4097
13/01/2012,1,1,0,5,1,1,0.274167,0.249362,0.5075,0.378108,3214
14/01/2012,1,1,0,6,0,1,0.18,0.183087,0.4575,0.187183,2493
15/01/2012,1,1,0,0,0,1,0.166667,0.161625,0.419167,0.251258,2311
16/01/2012,1,1,1,1,0,1,0.19,0.190663,0.5225,0.231358,2298
17/01/2012,1,1,0,2,1,2,0.373043,0.364278,0.716087,0.34913,2935
18/01/2012,1,1,0,3,1,1,0.303333,0.275254,0.443333,0.415429,3376
19/01/2012,1,1,0,4,1,1,0.19,0.190038,0.4975,0.220158,3292
20/01/2012,1,1,0,5,1,2,0.2175,0.220958,0.45,0.20275,3163
21/01/2012,1,1,0,6,0,2,0.173333,0.174875,0.83125,0.222642,1301
22/01/2012,1,1,0,0,0,2,0.1625,0.16225,0.79625,0.199638,1977
23/01/2012,1,1,0,1,1,2,0.218333,0.243058,0.91125,0.110708,2432
24/01/2012,1,1,0,2,1,1,0.3425,0.349108,0.835833,0.123767,4339
25/01/2012,1,1,0,3,1,1,0.294167,0.294821,0.64375,0.161071,4270
26/01/2012,1,1,0,4,1,2,0.341667,0.35605,0.769583,0.0733958,4075
27/01/2012,1,1,0,5,1,2,0.425,0.415383,0.74125,0.342667,3456
28/01/2012,1,1,0,6,0,1,0.315833,0.326379,0.543333,0.210829,4023
29/01/2012,1,1,0,0,0,1,0.2825,0.272721,0.31125,0.24005,3243
30/01/2012,1,1,0,1,1,1,0.269167,0.262625,0.400833,0.215792,3624
31/01/2012,1,1,0,2,1,1,0.39,0.381317,0.416667,0.261817,4509
01/02/2012,1,2,0,3,1,1,0.469167,0.466538,0.507917,0.189067,4579
02/02/2012,1,2,0,4,1,2,0.399167,0.398971,0.672917,0.187187,3761
03/02/2012,1,2,0,5,1,1,0.313333,0.309346,0.526667,0.178496,4151
04/02/2012,1,2,0,6,0,2,0.264167,0.272725,0.779583,0.121896,2832
05/02/2012,1,2,0,0,0,2,0.265833,0.264521,0.687917,0.175996,2947
06/02/2012,1,2,0,1,1,1,0.282609,0.296426,0.622174,0.1538,3784
07/02/2012,1,2,0,2,1,1,0.354167,0.361104,0.49625,0.147379,4375
08/02/2012,1,2,0,3,1,2,0.256667,0.266421,0.722917,0.133721,2802
09/02/2012,1,2,0,4,1,1,0.265,0.261988,0.562083,0.194037,3830
10/02/2012,1,2,0,5,1,2,0.280833,0.293558,0.54,0.116929,3831
11/02/2012,1,2,0,6,0,3,0.224167,0.210867,0.73125,0.289796,2169
12/02/2012,1,2,0,0,0,1,0.1275,0.101658,0.464583,0.409212,1529
13/02/2012,1,2,0,1,1,1,0.2225,0.227913,0.41125,0.167283,3422
14/02/2012,1,2,0,2,1,2,0.319167,0.333946,0.50875,0.141179,3922
15/02/2012,1,2,0,3,1,1,0.348333,0.351629,0.53125,0.1816,4169
16/02/2012,1,2,0,4,1,2,0.316667,0.330162,0.752917,0.091425,3005
17/02/2012,1,2,0,5,1,1,0.343333,0.351629,0.634583,0.205846,4154
18/02/2012,1,2,0,6,0,1,0.346667,0.355425,0.534583,0.190929,4318
19/02/2012,1,2,0,0,0,2,0.28,0.265788,0.515833,0.253112,2689
20/02/2012,1,2,1,1,0,1,0.28,0.273391,0.507826,0.229083,3129
21/02/2012,1,2,0,2,1,1,0.287826,0.295113,0.594348,0.205717,3777
22/02/2012,1,2,0,3,1,1,0.395833,0.392667,0.567917,0.234471,4773
23/02/2012,1,2,0,4,1,1,0.454167,0.444446,0.554583,0.190913,5062
24/02/2012,1,2,0,5,1,2,0.4075,0.410971,0.7375,0.237567,3487
25/02/2012,1,2,0,6,0,1,0.290833,0.255675,0.395833,0.421642,2732
26/02/2012,1,2,0,0,0,1,0.279167,0.268308,0.41,0.205229,3389
27/02/2012,1,2,0,1,1,1,0.366667,0.357954,0.490833,0.268033,4322
28/02/2012,1,2,0,2,1,1,0.359167,0.353525,0.395833,0.193417,4363
29/02/2012,1,2,0,3,1,2,0.344348,0.34847,0.804783,0.179117,1834
01/03/2012,1,3,0,4,1,1,0.485833,0.475371,0.615417,0.226987,4990
02/03/2012,1,3,0,5,1,2,0.353333,0.359842,0.657083,0.144904,3194
03/03/2012,1,3,0,6,0,2,0.414167,0.413492,0.62125,0.161079,4066
04/03/2012,1,3,0,0,0,1,0.325833,0.303021,0.403333,0.334571,3423
05/03/2012,1,3,0,1,1,1,0.243333,0.241171,0.50625,0.228858,3333
06/03/2012,1,3,0,2,1,1,0.258333,0.255042,0.456667,0.200875,3956
07/03/2012,1,3,0,3,1,1,0.404167,0.3851,0.513333,0.345779,4916
08/03/2012,1,3,0,4,1,1,0.5275,0.524604,0.5675,0.441563,5382
09/03/2012,1,3,0,5,1,2,0.410833,0.397083,0.407083,0.4148,4569
10/03/2012,1,3,0,6,0,1,0.2875,0.277767,0.350417,0.22575,4118
